DateTime,co2,sensor,y
2024/3/13 14:20,735.5781199,1,1
2024/3/13 14:21,728.1266073,0,0
2024/3/13 14:22,712.8465188,1,1
2024/3/13 14:23,700.407608,1,1
2024/3/13 14:24,690.5355784,0,1
2024/3/13 14:25,677.872879,0,1
2024/3/13 14:26,674.6489813,0,1
2024/3/13 14:27,669.5644633,1,1
2024/3/13 14:28,668.6441955,1,1
2024/3/13 14:29,667.7310403,1,1
2024/3/13 14:30,665.8269857,1,1
2024/3/13 14:31,664.5772196,1,1
2024/3/13 14:32,665.2016805,1,1
2024/3/13 14:33,668.5088168,1,1
2024/3/13 14:34,686.0617778,1,1
2024/3/13 14:35,716.1127472,1,1
2024/3/13 14:36,718.8522949,1,1
2024/3/13 14:37,721.0253398,1,1
2024/3/13 14:38,726.8395335,1,1
2024/3/13 14:39,734.546931,1,1
2024/3/13 14:40,738.915433,1,1
2024/3/13 14:42,733.2344971,1,1
2024/3/13 14:43,728.5239591,1,1
2024/3/13 14:44,732.314738,1,1
2024/3/13 14:45,740.0632528,1,1
2024/3/13 14:46,744.3233032,1,1
2024/3/13 14:47,748.905512,1,1
2024/3/13 14:48,760.5785166,1,1
2024/3/13 14:49,767.1732483,1,1
2024/3/13 14:50,773.3648515,1,1
2024/3/13 14:51,778.0565796,1,1
2024/3/13 14:52,792.7507172,1,1
2024/3/13 14:53,796.3012441,1,1
2024/3/13 14:54,804.0160689,1,1
2024/3/13 14:55,812.5541789,1,1
2024/3/13 14:56,818.8377533,1,1
2024/3/13 14:57,821.1300405,1,1
2024/3/13 14:58,824.342263,1,1
2024/3/13 14:59,830.9488322,1,1
2024/3/13 15:00,837.5013733,1,1
2024/3/13 15:01,840.3417192,1,1
2024/3/13 15:02,846.3050435,1,1
2024/3/13 15:03,849.7165477,1,1
2024/3/13 15:04,852.2845357,1,1
2024/3/13 15:05,852.3881115,1,1
2024/3/13 15:06,851.4623108,1,1
2024/3/13 15:07,856.3217011,1,1
2024/3/13 15:08,859.1489591,1,1
2024/3/13 15:09,862.9368184,1,1
2024/3/13 15:10,867.3217875,1,1
2024/3/13 15:11,859.9231822,0,1
2024/3/13 15:12,846.7734153,0,1
2024/3/13 15:13,831.8539327,1,1
2024/3/13 15:14,817.1675822,1,0
2024/3/13 15:15,785.6327515,0,0
2024/3/13 15:16,754.7928721,0,0
2024/3/13 15:17,736.1784821,0,0
2024/3/13 15:18,712.0727794,0,0
2024/3/13 15:19,695.8601407,0,0
